Title,Issue Number,Issue Name,Publisher,Cover Date Month,Cover Date Year,Writer(s),Penciller(s),Inker(s)
"Batman: Rebirth (2016)","#1","Batman Rebirth","DC Comics"," August","2016","Scott Snyder, Tom King [III]","Mikel Janin","Mikel Janin"
"Batman/Superman (2013)","#1","Cross World","DC Comics"," August","2013","Greg Pak","Jae Lee, Ben Oliver","Jae Lee, Ben Oliver"
"Before Watchmen: Comedian (2012)","#1","","DC Comics"," August","2012","Len Wein, Brian Azzarello","John B. Higgins, J.G. Jones","John B. Higgins, J.G. Jones"
"Before Watchmen: Minutemen (2012)","#1","","DC Comics"," August","2012","Darwyn Cooke, Len Wein, Darwyn Cooke","Darwyn Cooke, John B. Higgins, Darwyn Cooke","Darwyn Cooke, John B. Higgins"
"Before Watchmen: Nite Owl (2012)","#1","","DC Comics"," August","2012","Len Wein, Joseph Michael Straczynski Sr. - 'JMS'","John B. Higgins, Andy Kubert","John B. Higgins, Joe Kubert"
"Before Watchmen: Ozymandias (2012)","#1","","DC Comics"," September","2012","Len Wein, Len Wein","Jae Lee, John B. Higgins","Jae Lee, John B. Higgins"
"Before Watchmen: Silk Spectre (2012)","#1","","DC Comics"," August","2012","Amanda Conner, Darwyn Cooke, Darwyn Cooke, Amanda Conner, Len Wein","Amanda Conner, Amanda Conner, John B. Higgins","Amanda Conner, John B. Higgins"
"Bitch Planet (2014)","#1","","Image Comics"," December","2014","Kelly Sue DeConnick, Danielle Henderson","Valentine De Landro","Valentine De Landro"
"Black Canary (2015)","#1","The Most Dangerous Band in America","DC Comics"," August","2015","Brenden Fletcher","Annie Wu","Annie Wu"
"Black Magick (2015)","#1","Awakening","Image Comics"," October","2015","Greg Rucka","Nicola Scott","Nicola Scott"
"Black Magick (2015)","#2","Awakening (Part 002)","Image Comics"," November","2015","Greg Rucka","Nicola Scott","Nicola Scott"
"Black Panther (2016)","#1","A Nation Under Our Feet Part 1","Marvel"," July","2016","Ta-Nehisi Coates","Brian Stelfreeze","Brian Stelfreeze"
"Black Science (2013)","TPB vol. 01","How To Fall Forever","Image Comics"," May","2014","Rick Remender","Matteo Scalera","Matteo Scalera"
"Black Science (2013)","#1","","Image Comics"," November","2013","Rick Remender","Matteo Scalera","Matteo Scalera"
"Black Widow (2014)","#1","Raison D'Etre","Marvel"," March","2014","Nathan Edmondson","Phil Noto","Phil Noto"
"Black Widow (2014)","#2","Shanghaied","Marvel"," March","2014","Nathan Edmondson","Phil Noto","Phil Noto"
"Brass Sun (2014)","#1","","Rebellion"," May","2014","Ian Edginton","Ian 'I.N.J.' Culbard","Ian 'I.N.J.' Culbard"
"Bullseye (2017)","#1","","Marvel"," April","2017","Ed Brisson, Marv Wolfman","Guillermo Sanna, Alec Morgan","Guillermo Sanna, Alec Morgan"
"Burning Fields (2015)","#1","Enemy of My Enemy","Boom! Studios | Boom! Entertainment, Inc."," January","2015","Mike Moreci, Tim Daniel","Colin Lorimer","Colin Lorimer"
"Captain Marvel (2012)","#1","","Marvel"," September","2012","Kelly Sue DeConnick","Dexter Soy","Dexter Soy"
"Captain Marvel (2014)","#1","Higher, Further, Faster, More. Part One","Marvel"," May","2014","Kelly Sue DeConnick","David López","David López"
"Captain Marvel (2012)","#2","","Marvel"," October","2012","Kelly Sue DeConnick","Dexter Soy","Dexter Soy"
"Captain Marvel (2012)","#3","","Marvel"," October","2012","Kelly Sue DeConnick","Dexter Soy, Richard Elson, Karl Kesel","Dexter Soy, Richard Elson, Karl Kesel"
"Captain Marvel (2012)","#4","","Marvel"," November","2012","Kelly Sue DeConnick","Dexter Soy, Alejandro 'Al' Barrionuevo","Dexter Soy, Alejandro 'Al' Barrionuevo"
"Casanova: Acedia (2015)","#1","","Image Comics"," January","2015","Matt Fraction, Michael Chabon - 'Malachi B. Cohen'","Fábio Moon, Gabriel Bá","Fábio Moon, Gabriel Bá"
"Change (2012)","#1","Good Morning, Captain.","Image Comics"," December","2012","Aleš Kot","Morgan Jeske","Morgan Jeske"
"Chewbacca (2015)","#1","","Marvel"," December","2015","Gerry Duggan","Phil Noto","Phil Noto"
"Chrononauts (2015)","#1","","Image Comics"," March","2015","Mark Millar","Sean Gordon Murphy - 'Sean Gordon'","Sean Gordon Murphy - 'Sean Gordon'"
"Chrononauts (2015)","#2","","Image Comics"," April","2015","Mark Millar","Sean Gordon Murphy - 'Sean Gordon'","Sean Gordon Murphy - 'Sean Gordon'"
"Chrononauts (2015)","#3","","Image Comics"," May","2015","Mark Millar","Sean Gordon Murphy - 'Sean Gordon'","Sean Gordon Murphy - 'Sean Gordon'"
"Chrononauts (2015)","#4","","Image Comics"," June","2015","Mark Millar","Sean Gordon Murphy - 'Sean Gordon'","Sean Gordon Murphy - 'Sean Gordon'"
"Civil War (2006)","TPB","","Marvel"," April","2007","Mark Millar","Steve McNiven","Dexter Vines, Tim Townsend, Mark Morales, Steve McNiven, John Dell III"
"Civil War (2015)","#1","","Marvel"," September","2015","Charles D. Soule","Leinil Francis Yu","Gerry Alanguilan - 'Smile Man'"
"Civil War (2015)","#2","","Marvel"," October","2015","Charles D. Soule","Leinil Francis Yu","Gerry Alanguilan - 'Smile Man'"
"Civil War (2015)","#3","","Marvel"," October","2015","Charles D. Soule","Leinil Francis Yu","Gerry Alanguilan - 'Smile Man'"
"Civil War (2015)","#4","","Marvel"," November","2015","Charles D. Soule","Leinil Francis Yu","Gerry Alanguilan - 'Smile Man'"
"Civil War (2015)","#5","","Marvel"," December","2015","Charles D. Soule","Leinil Francis Yu","Gerry Alanguilan - 'Smile Man'"
"Civil War II (2016)","#1","","Marvel"," August","2016","Brian Michael Bendis","David Marquez","David Marquez"
"Clone (2012)","#1","","Image Comics"," November","2012","David Schulner","Juan Jose Ryp","Juan Jose Ryp"
"Cognetic (2015)","#1","","Boom! Studios | Boom! Entertainment, Inc."," October","2015","James Tynion IV","Eryk Donovan","Eryk Donovan"
"Comics Festival! (2015)","nn","2015","Beguiling Books"," May","2015","Kathryn Moira Beaton - 'Kate Beaton', Mariko Tamaki, Cory Doctorow, Svetlana Chmakova, Faith Erin Hicks, Zac Gorman, Dave Roman","Kathryn Moira Beaton - 'Kate Beaton', Gillian Goerz, Jen Wang, Svetlana Chmakova, Faith Erin Hicks, Zac Gorman, Dave Roman","Kathryn Moira Beaton - 'Kate Beaton', Gillian Goerz, Jen Wang, Svetlana Chmakova, Faith Erin Hicks, Zac Gorman, Dave Roman"
"Convergence (2015)","#0","The God Machine","DC Comics"," June","2015","Jeff King, Dan Jurgens","Ethan Van Sciver","Ethan Van Sciver"
"Criminal: The Special Edition (2015)","One-Shot","","Image Comics"," February","2015","Ed Brubaker","Sean Phillips","Sean Phillips"
"Cry Havoc (2016)","#1","One: Dog Days","Image Comics"," January","2016","Simon Spurrier","Ryan Kelly","Ryan Kelly"
"Curse Words (2017)","#1","The Devil's Deal Part One","Image Comics"," January","2017","Charles D. Soule","Ryan Browne","Ryan Browne"
"D4VE (2015)","#1","","IDW Publishing"," February","2015","Ryan Ferrier","Valentin Ramon","Valentin Ramon"
"Dancer (2012)","#1","","Image Comics"," May","2012","Nathan Edmondson","Nicolas ""Nic"" Klein","Nicolas ""Nic"" Klein"
"Daredevil (2011)","TPB vol. 01","Daredevil by Mark Waid vol. 1","Marvel"," ","2012","Mark Waid","Paolo Manuel Rivera, Marcos Martin","Joe Rivera, Marcos Martin"
"Daredevil (2011)","#18","Nelson and Murdock: Attorneys at Odds","Marvel"," November","2012","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#19","","Marvel"," December","2012","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#20","","Marvel"," January","2013","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#21","","Marvel"," February","2013","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#22","","Marvel"," March","2013","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#23","","Marvel"," April","2013","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#24","","Marvel"," May","2013","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#25","","Marvel"," June","2013","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#26","","Marvel"," July","2013","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#27","","Marvel"," August","2013","Mark Waid","Chris Samnee","Chris Samnee"
"Daredevil (2011)","#28","","Marvel"," September","2013","Mark Waid","Javier Rodriguez","Álvaro López - 'Bakadori'"
"Daredevil: Dark Nights (2013)","#1","Angels Unaware Part One: Whiteout","Marvel"," August","2013","Lee Weeks","Lee Weeks","Lee Weeks"
"Daredevil: Dark Nights (2013)","#2","Angels Unaware Part Two: Hannah's Heart Hannah's Hope","Marvel"," September","2013","Lee Weeks","Lee Weeks","Lee Weeks"
"Dark Knight III: The Master Race (2016)","#1","Book One","DC Comics"," January","2016","Frank Miller - 'Modern Age Creator', Brian Azzarello","Andy Kubert","Klaus R. Janson"
"DC Universe: Rebirth (2016)","#1","The Clock is Ticking Across the DC Universe!","DC Comics"," July","2016","Geoff Johns","Gary Frank, Ethan Van Sciver, Gary Frank, Ivan Reis - 'Rodrigo Ivan dos Reis', Phil Jimenez, Gary Frank, Gary Frank, Ivan Reis - 'Rodrigo Ivan dos Reis'","Ethan Van Sciver, Gary Frank, Gary Frank, Joe Prado, Ivan Reis - 'Rodrigo Ivan dos Reis', Matt Santorelli, Gary Frank, Gary Frank, Joe Prado"
"Deadly Class (2014)","TPB vol. 01","Reagan Youth","Image Comics"," July","2014","Rick Remender","Wesley Craig - 'Wes Craig'","Wesley Craig - 'Wes Craig'"
"Deadly Class (2014)","TPB vol. 02","Kids of the Black Hole","Image Comics"," March","2015","Rick Remender","Wesley Craig - 'Wes Craig'","Wesley Craig - 'Wes Craig'"
"Deadly Class (2014)","#1","","Image Comics"," January","2014","Rick Remender","Wesley Craig - 'Wes Craig'","Wesley Craig - 'Wes Craig'"
"Deadly Class (2014)","#2","","Image Comics"," February","2014","Rick Remender","Wesley Craig - 'Wes Craig'","Wesley Craig - 'Wes Craig'"
"Deadpool (2013)","#1","In Wade We Trust","Marvel"," January","2013","Brian Posehn, Gerry Duggan","Tony Moore","Tony Moore"
"Deadpool (2013)","#2","We Fought A Zoo","Marvel"," January","2013","Brian Posehn, Gerry Duggan","Tony Moore","Tony Moore"
"Deadpool (2013)","#3","Dr. Strange Lives (Or How I Learned Deadpool Was Da Bomb)","Marvel"," February","2013","Brian Posehn, Gerry Duggan","Tony Moore","Tony Moore"
"Deadpool (2013)","#4","The Quick And The Dead And The Really Dead","Marvel"," March","2013","Brian Posehn, Gerry Duggan","Tony Moore","Tony Moore"
"Deadpool (2013)","#5","Star Wars: Revenge Of The Gipper","Marvel"," April","2013","Brian Posehn, Gerry Duggan","Tony Moore","Tony Moore"
"Deadpool (2013)","#6","National Maul","Marvel"," May","2013","Gerry Duggan, Brian Posehn","Tony Moore","Tony Moore"
"Deadpool Kills the Marvel Universe (2012)","#1","","Marvel"," October","2012","Cullen Bunn","Dalibor Talajic","Dalibor Talajic"
"Deadpool's Secret Secret Wars (2015)","#1","Deadpool's Secret Wars","Marvel"," July","2015","Cullen Bunn","Jacopo Camagni, Matteo Lolli","Matteo Lolli, Jacopo Camagni"
"Death of Wolverine (2014)","#1","Death of Wolverine, Part 1: The End","Marvel"," November","2014","Charles D. Soule","Steve McNiven","Jay Leisten"
"Death of Wolverine (2014)","#2","Death of Wolverine, Part 2: Poison","Marvel"," November","2014","Charles D. Soule","Steve McNiven","Jay Leisten"
"Death of Wolverine (2014)","#3","Death of Wolverine, Part 3: Seppuku","Marvel"," December","2014","Charles D. Soule","Steve McNiven","Jay Leisten"
"Death of Wolverine (2014)","#4","Death of Wolverine, Part 4: History","Marvel"," December","2014","Charles D. Soule","Steve McNiven","Jay Leisten"
"Dept. H (2016)","#1","","Dark Horse Comics"," April","2016","Matt Kindt","Matt Kindt","Matt Kindt"
"Descender (2015)","#1","Book I : Tin Stars","Image Comics"," March","2015","Jeff Lemire","Dustin Nguyen","Dustin Nguyen"
"Descender (2015)","#2","Tin Stars: Part 2 of 6","Image Comics"," April","2015","Jeff Lemire","Dustin Nguyen","Dustin Nguyen"
"Descender (2015)","#3","Tin Stars: Part 3 of 5","Image Comics"," May","2015","Jeff Lemire","Dustin Nguyen","Dustin Nguyen"
"Descender (2015)","#4","Tin Stars: Part 4 of 5","Image Comics"," June","2015","Jeff Lemire","Dustin Nguyen","Dustin Nguyen"
"Descender (2015)","#5","Tin Stars: Part 5 of 6","Image Comics"," July","2015","Jeff Lemire","Dustin Nguyen","Dustin Nguyen"
"Descender (2015)","#6","Tin Stars: Conclusion","Image Comics"," August","2015","Jeff Lemire","Dustin Nguyen","Dustin Nguyen"
"Detective Comics (2011)","#30","Icarus Part One","DC Comics"," June","2014","Brian Buccellato - 'Brian Bucce', Francis Manapul","Francis Manapul","Francis Manapul"
"Detective Comics (1937)","#934","Rise of the Batmen Part 1: The Young and the Brave","DC Comics","Early August","2016","James Tynion IV","Eddy Barrows","Eber Ferreira"
"Divergence FCBD (2015)","#1","Divergence","DC Comics"," June","2015","Scott Snyder, Gene Luen Yang, Geoff Johns","Greg Capullo, John Romita Jr., Jason Fabok","Danny K. Miki, Klaus R. Janson, Scott Hanna, Jason Fabok"
"Divinity (2015)","TPB","Divinity","Valiant Entertainment"," July","2015","Matt Kindt","Trevor Hairsine","Ryan Winn"
"Divinity II (2016)","#1","","Valiant Entertainment"," April","2016","Matt Kindt","Trevor Hairsine","Ryan Winn"
"Divinity II (2016)","#2","","Valiant Entertainment"," May","2016","Matt Kindt","Trevor Hairsine","Ryan Winn"
"Doctor Strange (2015)","#1","","Marvel"," December","2015","Jason Aaron","Chris Bachalo, Kevin Nowlan - 'KCN'","Tim Townsend, Al Vey, Mark John Irwin, Kevin Nowlan - 'KCN'"
"East Of West (2013)","#1","One:  Out of the Wasteland","Image Comics"," March","2013","Jonathan Hickman","Nick Dragotta","Nick Dragotta"
"East Of West (2013)","#2","Two: Above All, Few Are Chosen","Image Comics"," April","2013","Jonathan Hickman","Nick Dragotta","Nick Dragotta"
"East Of West (2013)","#3","Three: The House Of Mao","Image Comics"," June","2013","Jonathan Hickman","Nick Dragotta","Nick Dragotta"
"Edge of Spider-Verse (2014)","#1","Spider-Man Noir","Marvel"," November","2014","David Hine, Fabrice Sapolsky","Richard J. Isanove","Richard J. Isanove"
"Edge of Spider-Verse (2014)","#2","Gwen Stacy: Spider-Woman","Marvel"," November","2014","Jason Latour - 'D. Jason Latour'","Robbi Rodriguez","Robbi Rodriguez"
"Edge of Spider-Verse (2014)","#3","Aaron Aikman: The Spider-Man","Marvel"," November","2014","Dustin Weaver","Dustin Weaver","Dustin Weaver"
"Edge of Spider-Verse (2014)","#4","I Walked with a Spider","Marvel"," December","2014","Clay McLeod Chapman","Elia Bonetti","Elia Bonetti"
"Edge of Spider-Verse (2014)","#5","SP//dr","Marvel"," December","2014","Gerard Arthur Way","Jake Wyatt","Jake Wyatt"
"Empress (2016)","#1","","Marvel"," June","2016","Mark Millar","Stuart Immonen","Wade Von Grawbadger"
"Fables (2002)","TPB vol. 01","Legends In Exile","DC Comics"," May","2012","Bill Willingham, Bill Willingham, Bill Willingham, Bill Willingham, Bill Willingham, Bill Willingham, Bill Willingham, Bill Willingham","Lan Medina, Lan Medina, Lan Medina, Lan Medina, Lan Medina, Bill Willingham, Steve Leialoha","Steve Leialoha, Steve Leialoha, Steve Leialoha, Craig T. Hamilton, Steve Leialoha, Bill Willingham, Steve Leialoha"
"Fables (2002)","TPB vol. 02","Animal Farm","DC Comics"," August","2003","Bill Willingham, Bill Willingham, Bill Willingham, Bill Willingham, Bill Willingham, Bill Willingham","Mark Buckingham, Mark Buckingham, Mark Buckingham, Mark Buckingham, Mark Buckingham, Mark Buckingham, James Jean, James Jean, Mark Buckingham, Bill Willingham","Steve Leialoha, Steve Leialoha, Steve Leialoha, Steve Leialoha, Steve Leialoha, Steve Leialoha, James Jean, (Scanned From Pencils)"
"Fairest (2012)","#1","Prince of Thieves, Chapter One of Wide Awake","DC Comics"," May","2012","Bill Willingham","Phil Jimenez","Andy Lanning"
"Fairest (2012)","#2","Run! Chapter Two of Wide Awake","DC Comics"," June","2012","Bill Willingham","Phil Jimenez","Andy Lanning"
"Fairest (2012)","#3","Party Crasher, Chapter Three of Wide Awake","DC Comics"," July","2012","Bill Willingham","Phil Jimenez","Andy Lanning, Mark Farmer"
"Fairest (2012)","#4","Man on a Ledge, Chapter Four of Wide Awake","DC Comics"," August","2012","Bill Willingham","Stephen Sadowski - 'Steve', Phil Jimenez","Andrew J. Pepoy, Andy Lanning"
"Fairest (2012)","#5","A Waltz in Frost and Shadow, Chapter Five of Wide Awake","DC Comics"," September","2012","Bill Willingham","Stephen Sadowski - 'Steve', Phil Jimenez","Andrew J. Pepoy, Andy Lanning"
"Fairest (2012)","#6","A Field Spotter's Guide to True Love, Chapter Six of Wide Awake","DC Comics"," October","2012","Bill Willingham","Phil Jimenez","Andrew J. Pepoy, Andy Lanning"
"Fairest (2012)","#7","Lamia","DC Comics"," November","2012","Matthew Sturges","Shawn McManus","Shawn McManus"
"Fairest (2012)","#8","The Hidden Kingdom Chapter One: Big in Japan","DC Comics"," December","2012","Lauren Beukes","Inaki Miranda","Inaki Miranda"
"Fairest (2012)","#9","The Hidden Kingdom Chapter Two: Hard-Boiled Wonderland","DC Comics"," January","2013","Lauren Beukes","Inaki Miranda","Inaki Miranda"
"Fairest (2012)","#10","The Hidden Kingdom Chapter Three: Lost In Translation","DC Comics"," February","2013","Lauren Beukes","Inaki Miranda","Inaki Miranda"
"Faith (II) (2016)","#1","","Valiant Entertainment"," July","2016","Jody Houser","Marguerite Sauvage, Pere Perez, Colleen Doran","Pere Perez"
"Fantastic Four: 1 2 3 4 (2001)","TPB","Fantastic Four: 1234","Marvel"," ","2002","Grant Morrison","Jae Lee","Jae Lee"
"Fatale (2012)","TPB vol. 01","Death Chases Me","Image Comics"," June","2012","Ed Brubaker","Sean Phillips","Sean Phillips"
"Fatale (2012)","#6","The Devil's Business","Image Comics"," June","2012","Jess Nevins, Ed Brubaker","Sean Phillips","Sean Phillips"
"Fatale (2012)","#7","","Image Comics"," August","2012","Ed Brubaker, Jess Nevins","Sean Phillips, Sean Phillips","Sean Phillips"
"Fatale (2012)","#8","","Image Comics"," October","2012","Ed Brubaker","Sean Phillips","Sean Phillips"
"Fatale (2012)","#9","","Image Comics"," October","2012","Ed Brubaker","Sean Phillips","Sean Phillips"
"Fatale (2012)","#10","","Image Comics"," November","2012","Ed Brubaker, Jess Nevins","Sean Phillips","Sean Phillips"
"Fatale (2012)","#11","The Case Of Alfred Ravenscroft","Image Comics"," January","2013","Ed Brubaker","Sean Phillips","Sean Phillips"
"Fatale (2012)","#12","A Lovely Sort Of Death","Image Comics"," February","2013","Ed Brubaker, Megan Abbott","Sean Phillips","Sean Phillips"
"Fatale (2012)","#13","Down The Darkest Trail","Image Comics"," March","2013","Ed Brubaker, Jack Pendarvis","Sean Phillips","Sean Phillips"
"Fatale (2012)","#14","Just A Glance Away","Image Comics"," May","2013","Ed Brubaker","Sean Phillips","Sean Phillips"
"Fatale (2012)","#15","","Image Comics"," June","2013","Ed Brubaker, Jess Nevins","Sean Phillips","Sean Phillips"
"Fatale (2012)","#16","","Image Comics"," August","2013","Ed Brubaker","Sean Phillips, Steve Epting, Sean Phillips","Sean Phillips, Sean Phillips, Steve Epting"
"FBP: Federal Bureau of Physics (2013)","#1","The Paradigm Shift, Part 1","DC Comics"," September","2013","Simon Oliver","Robbi Rodriguez","Robbi Rodriguez"
"FBP: Federal Bureau of Physics (2013)","#2","The Paradigm Shift, Part 2","DC Comics"," October","2013","Simon Oliver","Robbi Rodriguez","Robbi Rodriguez"
"FBP: Federal Bureau of Physics (2013)","#3","The Paradigm Shift, Part 3","DC Comics"," November","2013","Simon Oliver","Robbi Rodriguez","Robbi Rodriguez"
"FF (2011)","TPB vol. 01","","Marvel"," ","2012","Jonathan Hickman","Steve Epting, Barry Kitson","Steve Epting, Rick Magyar"
"FF (2013)","#1","Parts Of A Hole","Marvel"," January","2013","Matt Fraction","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"FF (2013)","#2","The Big Goodbye","Marvel"," February","2013","Matt Fraction","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"FF (2013)","#3","Old John Storm","Marvel"," March","2013","Matt Fraction","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"FF (2013)","#4","Escalation","Marvel"," April","2013","Matt Fraction","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"FF (2013)","#5","Spooky Kids Or, Merrily Into The Eight Arms Of Durga the Invincible We Go","Marvel"," May","2013","Matt Fraction","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"FF (2013)","#6","Save The Tiger","Marvel"," June","2013","Matt Fraction","Joe Quinones","Joe Quinones"
"FF (2013)","#7","That Was The Worst Field Trip Ever!","Marvel"," July","2013","Matt Fraction","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"FF (2013)","#8","You Can't Go Home Again","Marvel"," August","2013","Matt Fraction","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"FF (2013)","#9","Last Splash","Marvel"," September","2013","Matt Fraction","Joe Quinones","Joe Quinones"
"FF (2013)","#10","Paint It Black","Marvel"," September","2013","Matt Fraction","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Fight Club 2 (2015)","#1","","Dark Horse Comics"," May","2015","Chuck Palahniuk","Cameron Stewart","Cameron Stewart"
"First X-Men (2012)","#1","Children of the Atom","Marvel"," October","2012","Neal Adams, Christos N. Gage","Neal Adams","Neal Adams"
"Flash: Rebirth (2016)","#1","...Doomed to Repeat it...","DC Comics"," August","2016","Joshua Williamson","Carmine Di Giandomenico","Carmine Di Giandomenico"
"Frankenstein Underground (2015)","#1","","Dark Horse Comics"," March","2015","Mike Mignola","Ben Stenbeck","Ben Stenbeck"
"Free Comic Book Day 2013 (Infinity) (2013)","#1","","Marvel"," May","2013","Jonathan Hickman, Scott Edelman, Warren Ellis","Jim Cheung, Michael J. Zeck - 'Mike Zeck', Mike McKone","Mark Morales, Michael J. Zeck - 'Mike Zeck', Mike McKone"
"Free Comic Book Day 2015 (Avengers) (2015)","#1","","Marvel"," June","2015","Mark Waid, Charles D. Soule","Mahmud  A. Asrar, Brandon Peterson - 'Brando'","Mahmud  A. Asrar, Brandon Peterson - 'Brando'"
"Free Comic Book Day 2015 (Secret Wars) (2015)","#1","","Marvel"," June","2015","Hajime Isayama - '&#35563;&#23665;&#21109;', Jonathan Hickman, C.B. Cebulski","Paul Renaud, Gerardo Sandoval","Paul Renaud, Gerardo Sandoval"
"Fury MAX (2012)","#1","While All the Planet's Little Wars Start Joining Hands","Marvel"," July","2012","Garth Ennis","Goran Parlov","Goran Parlov"
"Fury MAX (2012)","#2","Number One Fucky","Marvel"," July","2012","Garth Ennis","Goran Parlov","Goran Parlov"
"Fury MAX (2012)","#3","And Some People Left For Heaven Without Warning","Marvel"," August","2012","Garth Ennis","Goran Parlov","Goran Parlov"
"Fury MAX (2012)","#4","If We Was Meant To Be Cowboys","Marvel"," September","2012","Garth Ennis","Goran Parlov","Goran Parlov"
"Fury MAX (2012)","#5","Get Ready To Shed A Tear","Marvel"," October","2012","Garth Ennis","Goran Parlov","Goran Parlov"
"Fury MAX (2012)","#6","An' Go To Your Gawd As A Soldier","Marvel"," November","2012","Garth Ennis","Goran Parlov","Goran Parlov"
"Fury MAX (2012)","#7","Mister Chained Blue Lightning","Marvel"," February","2013","Garth Ennis","Goran Parlov","Goran Parlov"
"Fury MAX (2012)","#8","The Judgment of Your Peers","Marvel"," March","2013","Garth Ennis","Goran Parlov","Goran Parlov"
"Fury MAX (2012)","#9","Nobody Does it Quite the Way You Do","Marvel"," April","2013","Garth Ennis","Goran Parlov","Goran Parlov"
"Giant Days (2015)","TPB vol. 01","Volume One","Boom! Studios | Boom! Entertainment, Inc."," November","2015","John Allison","Lissa Treiman","Lissa Treiman"
"Giant Days (2015)","#1","","Boom! Studios | Boom! Entertainment, Inc."," March","2015","John Allison","Lissa Treiman","Lissa Treiman"
"Giant Days (2015)","#2","","Boom! Studios | Boom! Entertainment, Inc."," April","2015","John Allison","Lissa Treiman","Lissa Treiman"
"Goldie Vance (2016)","#1","","Boom! Studios | Boom! Entertainment, Inc."," April","2016","Hope Raue Larson","Brittney L. Williams","Brittney L. Williams"
"Gotham Academy (2014)","#1","Welcome to Gotham Academy","DC Comics"," December","2014","Brenden Fletcher, Becky Cloonan","Karl Kerschl","Karl Kerschl"
"Green Arrow (2011)","#17","The Kill Machine, Part 1","DC Comics"," April","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#18","The Kill Machine, Part 2","DC Comics"," May","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#19","The Kill Machine, Part 3","DC Comics"," June","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#20","The Kill Machine, Part 4","DC Comics"," July","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#21","The Kill Machine, Conclusion","DC Comics"," August","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#22","Shados, Part 1 of 2","DC Comics"," September","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#23","Shados, Conclusion","DC Comics"," October","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#23.1","Momma's Boy","DC Comics"," November","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#24","Dissonance","DC Comics"," December","2013","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#25","","DC Comics"," January","2014","Jeff Lemire","Andrea Sorrentino, Denys B. Cowan","Andrea Sorrentino, Bill Sienkiewicz"
"Green Arrow (2011)","#26","The Outsiders War, Book 1: Return to the Island","DC Comics"," February","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#27","The Outsiders War, Book 2: Secret Origin","DC Comics"," March","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#28","The Outsiders War, Book 3: The Final Lesson","DC Comics"," April","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#29","The Outsiders War, Book 4: The Prague Offensive","DC Comics"," May","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#30","The Outsiders War, Book 5: Family","DC Comics"," June","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#31","The Outsiders War, Book 6: Spoils of War","DC Comics"," July","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#32","Broken, Part 1","DC Comics"," August","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow (2011)","#33","Broken, Part 2","DC Comics"," September","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
